employee_id,churn_probability,shap_main_driver_feature,shap_main_driver_value,shap_driver_direction
1,0.9967626333236694,is_project_extreme,2.3484764099121094,Increases exit risk
2,0.9734649062156677,risk_score_raw,1.4992291927337646,Increases exit risk
3,0.9995356798171997,satisfaction_level,4.160591125488281,Increases exit risk
4,0.9613645076751709,risk_score_raw,1.478206992149353,Increases exit risk
5,0.9937547445297241,is_project_extreme,2.0795857906341553,Increases exit risk
6,0.997643768787384,is_project_extreme,2.0664353370666504,Increases exit risk
7,0.9986761212348938,satisfaction_level,4.425149917602539,Increases exit risk
8,0.9913201928138733,time_spend_company,1.606725811958313,Increases exit risk
9,0.9957118034362793,time_spend_company,1.5306984186172485,Increases exit risk
10,0.9959992170333862,is_project_extreme,2.0783603191375732,Increases exit risk
11,0.9969224333763123,is_project_extreme,2.0990991592407227,Increases exit risk
12,0.9997722506523132,satisfaction_level,4.034562110900879,Increases exit risk
13,0.9826315641403198,time_spend_company,1.4801734685897827,Increases exit risk
14,0.9972234964370728,is_project_extreme,2.032461643218994,Increases exit risk
15,0.9970122575759888,is_project_extreme,1.9789395332336426,Increases exit risk
16,0.9968900084495544,is_project_extreme,2.340914487838745,Increases exit risk
17,0.9933678507804871,is_project_extreme,2.1314992904663086,Increases exit risk
18,0.9860011339187622,risk_score_raw,1.350590705871582,Increases exit risk
19,0.9882320761680603,is_project_extreme,2.0386669635772705,Increases exit risk
20,0.9851749539375305,risk_score_raw,1.6555613279342651,Increases exit risk
21,0.9990288019180298,satisfaction_level,4.409634113311768,Increases exit risk
22,0.9965090155601501,is_project_extreme,2.3396480083465576,Increases exit risk
23,0.999830961227417,satisfaction_level,3.9594833850860596,Increases exit risk
24,0.9943865537643433,is_project_extreme,2.1653223037719727,Increases exit risk
25,0.995512068271637,is_project_extreme,2.0641860961914062,Increases exit risk
26,0.9913086891174316,risk_score_raw,1.6115970611572266,Increases exit risk
27,0.993727445602417,risk_score_raw,1.5653645992279053,Increases exit risk
28,0.9972098469734192,is_project_extreme,2.0485992431640625,Increases exit risk
29,0.9985008239746094,is_project_extreme,2.33648681640625,Increases exit risk
30,0.9966545104980469,is_project_extreme,2.04925537109375,Increases exit risk
31,0.9996079802513123,satisfaction_level,3.903789520263672,Increases exit risk
32,0.9950873255729675,is_project_extreme,2.0549771785736084,Increases exit risk
33,0.9956884980201721,is_project_extreme,1.9899942874908447,Increases exit risk
34,0.9949854612350464,is_project_extreme,2.191606283187866,Increases exit risk
35,0.9899535775184631,risk_score_raw,1.3095042705535889,Increases exit risk
36,0.9986388087272644,satisfaction_level,4.391321182250977,Increases exit risk
37,0.9969868063926697,is_project_extreme,2.0403711795806885,Increases exit risk
38,0.9877521991729736,is_project_extreme,2.0716350078582764,Increases exit risk
39,0.9998180270195007,satisfaction_level,4.089529514312744,Increases exit risk
40,0.995557963848114,is_project_extreme,1.9765832424163818,Increases exit risk
41,0.9902932643890381,risk_score_raw,1.4630820751190186,Increases exit risk
42,0.996980607509613,is_project_extreme,2.09470796585083,Increases exit risk
43,0.9974064230918884,is_project_extreme,2.04604172706604,Increases exit risk
44,0.9995972514152527,satisfaction_level,4.136229038238525,Increases exit risk
45,0.9989401698112488,satisfaction_level,4.444974899291992,Increases exit risk
46,0.5345049500465393,is_project_extreme,-0.5226736664772034,Reduces exit risk
47,0.9956667423248291,is_project_extreme,2.0012056827545166,Increases exit risk
48,0.538520097732544,risk_score_raw,0.8052446246147156,Increases exit risk
49,0.9968388080596924,is_project_extreme,2.3689212799072266,Increases exit risk
50,0.9975469708442688,is_project_extreme,2.1895816326141357,Increases exit risk
51,0.8246474862098694,is_project_extreme,0.9874567985534668,Increases exit risk
52,0.996743381023407,is_project_extreme,2.115727663040161,Increases exit risk
53,0.9961299896240234,is_project_extreme,2.050475835800171,Increases exit risk
54,0.9975013136863708,is_project_extreme,2.0787429809570312,Increases exit risk
55,0.999904990196228,satisfaction_level,3.7377870082855225,Increases exit risk
56,0.9960525035858154,is_project_extreme,2.000274658203125,Increases exit risk
57,0.9994156360626221,satisfaction_level,4.206616401672363,Increases exit risk
58,0.9998005032539368,satisfaction_level,4.045181751251221,Increases exit risk
59,0.9980469942092896,is_project_extreme,2.2995243072509766,Increases exit risk
60,0.9957749247550964,time_spend_company,1.4781721830368042,Increases exit risk
61,0.9803865551948547,risk_score_raw,1.5957989692687988,Increases exit risk
62,0.9999455213546753,satisfaction_level,3.786484479904175,Increases exit risk
63,0.9980729818344116,satisfaction_level,4.430050849914551,Increases exit risk
64,0.9967846870422363,is_project_extreme,2.1010971069335938,Increases exit risk
65,0.9987974166870117,satisfaction_level,4.533064842224121,Increases exit risk
66,0.7549926042556763,is_project_extreme,0.7299606800079346,Increases exit risk
67,0.996020495891571,is_project_extreme,2.0498905181884766,Increases exit risk
68,0.9797321557998657,satisfaction_x_evaluation,1.3669394254684448,Increases exit risk
69,0.9417293071746826,time_spend_company,1.6754231452941895,Increases exit risk
70,0.9970394968986511,is_project_extreme,2.176270008087158,Increases exit risk
71,0.7598477005958557,is_project_extreme,1.2266252040863037,Increases exit risk
72,0.993846595287323,satisfaction_level,5.520444393157959,Increases exit risk
73,0.993401825428009,is_project_extreme,2.0939271450042725,Increases exit risk
74,0.9998427629470825,satisfaction_level,4.380195140838623,Increases exit risk
75,0.9944971203804016,satisfaction_level,4.356268882751465,Increases exit risk
76,0.9998001456260681,satisfaction_level,3.8873040676116943,Increases exit risk
77,0.9996668100357056,satisfaction_level,4.608865261077881,Increases exit risk
78,0.9974684715270996,is_project_extreme,2.3108346462249756,Increases exit risk
79,0.9958828687667847,is_project_extreme,2.039698839187622,Increases exit risk
80,0.9954233765602112,is_project_extreme,2.000779390335083,Increases exit risk
81,0.9949054718017578,is_project_extreme,2.3896894454956055,Increases exit risk
82,0.9970013499259949,is_project_extreme,2.063105821609497,Increases exit risk
83,0.7068753838539124,is_project_extreme,-0.624529242515564,Reduces exit risk
84,0.988706111907959,risk_score_raw,1.3630293607711792,Increases exit risk
85,0.9997422099113464,satisfaction_level,4.036640644073486,Increases exit risk
86,0.9998098015785217,satisfaction_level,4.1282572746276855,Increases exit risk
87,0.1996547430753708,is_project_extreme,-1.167188286781311,Reduces exit risk
88,0.9974608421325684,is_project_extreme,2.038618803024292,Increases exit risk
89,0.9970192909240723,is_project_extreme,2.061920404434204,Increases exit risk
90,0.9998290538787842,satisfaction_level,4.480526924133301,Increases exit risk
91,0.9982047080993652,is_project_extreme,2.319659471511841,Increases exit risk
92,0.9980314373970032,risk_score_raw,1.475767731666565,Increases exit risk
93,0.9960647225379944,is_project_extreme,2.069272041320801,Increases exit risk
94,0.9931168556213379,is_project_extreme,2.052307367324829,Increases exit risk
95,0.9983786344528198,satisfaction_level,4.820629119873047,Increases exit risk
96,0.9962947964668274,is_project_extreme,2.347670078277588,Increases exit risk
97,0.9988258481025696,satisfaction_level,4.451858997344971,Increases exit risk
98,0.9988289475440979,satisfaction_level,4.82927942276001,Increases exit risk
99,0.997377872467041,satisfaction_level,4.420083045959473,Increases exit risk
100,0.991226851940155,risk_score_raw,1.2605006694793701,Increases exit risk
101,0.9960353970527649,is_project_extreme,2.351813554763794,Increases exit risk
102,0.9949758052825928,is_project_extreme,2.1849560737609863,Increases exit risk
103,0.9978840947151184,is_project_extreme,2.3455045223236084,Increases exit risk
104,0.9997798800468445,satisfaction_level,4.65614652633667,Increases exit risk
105,0.9960744380950928,is_project_extreme,2.3522355556488037,Increases exit risk
106,0.9563645124435425,number_project,3.019227981567383,Increases exit risk
107,0.9948648810386658,time_spend_company,1.6678768396377563,Increases exit risk
108,0.9944348931312561,is_project_extreme,2.0528111457824707,Increases exit risk
109,0.7177319526672363,risk_score_raw,0.8504631519317627,Increases exit risk
110,0.9948053956031799,is_project_extreme,1.9865846633911133,Increases exit risk
111,0.9967447519302368,is_project_extreme,2.0613255500793457,Increases exit risk
112,0.9996887445449829,satisfaction_level,4.485025405883789,Increases exit risk
113,0.9941232800483704,is_project_extreme,2.0992588996887207,Increases exit risk
114,0.9903113842010498,time_spend_company,1.7239360809326172,Increases exit risk
115,0.9967344403266907,risk_score_raw,1.6113626956939697,Increases exit risk
116,0.9972360730171204,is_project_extreme,2.0577101707458496,Increases exit risk
117,0.2197565883398056,workload_intensity_idx,0.9216498136520386,Increases exit risk
118,0.9986306428909302,satisfaction_level,4.434293746948242,Increases exit risk
119,0.9979841709136963,is_project_extreme,2.117734432220459,Increases exit risk
120,0.9980385899543762,is_project_extreme,1.9555094242095947,Increases exit risk
121,0.7884780168533325,risk_score_raw,0.8751632571220398,Increases exit risk
122,0.9985231757164001,is_project_extreme,2.0591232776641846,Increases exit risk
123,0.9925077557563782,risk_score_raw,1.5819765329360962,Increases exit risk
124,0.9996771812438965,satisfaction_level,4.14919900894165,Increases exit risk
125,0.9967350363731384,is_project_extreme,2.0379955768585205,Increases exit risk
126,0.9985930323600769,satisfaction_level,4.486637115478516,Increases exit risk
127,0.9968673586845398,is_project_extreme,2.050807237625122,Increases exit risk
128,0.761588990688324,risk_score_raw,1.3215099573135376,Increases exit risk
